input_url,final_url,status,ok,error,content_type,content_length,elapsed_sec,checked_at
https://tel-think.com/wp/protect.html,https://tel-think.com/wp/protect.html,200,True,,text/html; charset=UTF-8,,0.253,2025-09-01T19:34:41.333854+00:00
https://tel-think.com/wp/ordersagency.html,https://tel-think.com/wp/ordersagency.html,200,True,,text/html; charset=UTF-8,,0.329,2025-09-01T19:34:41.410627+00:00
https://tel-think.com/wp/standardbusiness,https://tel-think.com/wp/standardbusiness,200,True,,text/html; charset=UTF-8,,0.333,2025-09-01T19:34:41.415242+00:00
https://tel-think.com/wp/water_trouble.html,https://tel-think.com/wp/water_trouble.html,200,True,,text/html; charset=UTF-8,,0.331,2025-09-01T19:34:41.418425+00:00
https://tel-think.com/wp/ai-tel-agent-service,https://tel-think.com/wp/ai-tel-agent-service,200,True,,text/html; charset=UTF-8,,0.342,2025-09-01T19:34:41.425457+00:00
https://tel-think.com/wp/personalized-beauty-salon,https://tel-think.com/wp/personalized-beauty-salon,200,True,,text/html; charset=UTF-8,,0.348,2025-09-01T19:34:41.436206+00:00
https://tel-think.com/wp/personal-detective-business,https://tel-think.com/wp/personal-detective-business,200,True,,text/html; charset=UTF-8,,0.352,2025-09-01T19:34:41.439018+00:00
https://tel-think.com/wp/management/general-purpose-package,https://tel-think.com/wp/management/general-purpose-package,200,True,,text/html; charset=UTF-8,,0.364,2025-09-01T19:34:41.453081+00:00
https://tel-think.com/wp/nighttime_act.html,https://tel-think.com/wp/nighttime_act.html,200,True,,text/html; charset=UTF-8,,0.366,2025-09-01T19:34:41.454450+00:00
https://tel-think.com/wp/property-management,https://tel-think.com/wp/property-management,200,True,,text/html; charset=UTF-8,,0.366,2025-09-01T19:34:41.454959+00:00
https://tel-think.com/wp/personal-service-industry,https://tel-think.com/wp/personal-service-industry,200,True,,text/html; charset=UTF-8,,0.369,2025-09-01T19:34:41.457469+00:00
https://tel-think.com/wp/massage.html,https://tel-think.com/wp/massage.html,200,True,,text/html; charset=UTF-8,,0.37,2025-09-01T19:34:41.457729+00:00
https://tel-think.com/wp/countermeasures-against-persistent-sales-calls,https://tel-think.com/wp/countermeasures-against-persistent-sales-calls,200,True,,text/html; charset=UTF-8,,0.37,2025-09-01T19:34:41.458672+00:00
https://tel-think.com/wp/sat_sun.html,https://tel-think.com/wp/sat_sun.html,200,True,,text/html; charset=UTF-8,,0.37,2025-09-01T19:34:41.459622+00:00
